Epoch,Loss,Accuracy,Precision,Recall,F1-Score
1,4.864391,3.96026729,2.4242767,3.96026729,2.16464695
2,4.36448797,8.93085787,6.64442924,8.93085787,6.12354985
3,4.10174216,12.07986556,9.35080638,12.07986556,9.35845457
4,3.90395715,14.77172695,12.08463426,14.77172695,12.20787675
5,3.73379405,17.17849712,14.71580159,17.17849712,14.73749778
6,3.57901924,19.61227593,17.09361226,19.61227593,17.34467739
7,3.4493381,21.87800096,19.42470025,21.87800096,19.75689477
8,3.33333844,23.68657971,21.30170368,23.68657971,21.70678753
9,3.22942164,25.53617157,23.2792697,25.53617157,23.67869865
10,3.13879608,27.16069142,25.01172867,27.16069142,25.44087859
11,3.05677535,28.54713508,26.44000253,28.54713508,26.89345828
12,2.98469895,29.94458227,27.93025188,29.94458227,28.36104967
13,2.91258295,31.10595391,29.16732726,31.10595391,29.63596361
14,2.8475093,32.60443342,30.81940563,32.60443342,31.21273053
15,2.78353631,33.72179097,32.02586524,33.72179097,32.40799273
16,2.72319187,34.7331146,33.08189161,34.7331146,33.46444262
17,2.66736191,35.83746799,34.2163168,35.83746799,34.6159374
18,2.61547763,36.83678777,35.2154393,36.83678777,35.64580311
19,2.56392478,37.99215749,36.42817839,37.99215749,36.83179671
20,2.51254115,38.93645967,37.53817688,38.93645967,37.90527459
21,2.46439882,39.89576665,38.47192454,39.89576665,38.83561611
22,2.41760923,40.76804577,39.41815303,40.76804577,39.77075721
23,2.37351224,41.72035051,40.39866622,41.72035051,40.76279183
24,2.32955684,42.50560179,41.23273087,42.50560179,41.57154899
25,2.28627246,43.54793534,42.28359557,43.54793534,42.61479535
26,2.24341329,44.21614917,42.96909042,44.21614917,43.32742269
27,2.20478173,45.04741517,43.88025329,45.04741517,44.2128567
28,2.16412375,45.92669654,44.82368051,45.92669654,45.12896905
29,2.12424389,46.54689501,45.40821609,46.54689501,45.73187919
30,2.0850228,47.44118118,46.33622737,47.44118118,46.64862158
31,2.05204892,48.09939181,47.08746206,48.09939181,47.3830055
32,2.00995321,49.14272567,48.09252233,49.14272567,48.40581405
33,1.97455925,49.95298496,48.97701798,49.95298496,49.26711662
34,1.94394273,50.3681178,49.43861377,50.3681178,49.71798191
35,1.90364049,51.40244878,50.49326593,51.40244878,50.76150968
36,1.86909689,52.19170134,51.30520134,52.19170134,51.56388478
37,1.83449382,52.76488476,51.93880067,52.76488476,52.17346237
38,1.81090536,53.33106594,52.51876181,53.33106594,52.76333915
39,1.76639695,54.26236396,53.48405496,54.26236396,53.72044569
40,1.73579211,54.93257843,54.1559452,54.93257843,54.39145843
41,1.70474366,55.53377081,54.7559441,55.53377081,54.99558397
42,1.67353642,56.28401088,55.61387329,56.28401088,55.81423679
43,1.64091176,56.97123079,56.27699545,56.97123079,56.49363519
44,1.61072489,57.71346831,57.04939945,57.71346831,57.26084372
45,1.5820396,58.09158931,57.45265515,58.09158931,57.65323062
46,1.55657092,58.71278809,58.09384954,58.71278809,58.28256753
47,1.52367177,59.45002401,58.85058832,59.45002401,59.03797901
48,1.50107945,60.07022247,59.48084868,60.07022247,59.66755839
49,1.47193724,60.60139245,60.03188862,60.60139245,60.21138194
50,1.43877998,61.45666613,60.89293534,61.45666613,61.07196302
51,1.41522079,62.1018726,61.5603632,62.1018726,61.73416719
52,1.38927553,62.46398848,61.96926248,62.46398848,62.12063324
53,1.35988065,63.02016645,62.52657257,63.02016645,62.68901222
54,1.33891221,63.74939981,63.27819429,63.74939981,63.4215161
55,1.31594358,64.19554257,63.7467351,64.19554257,63.89165556
56,1.28570976,64.91477273,64.48121768,64.91477273,64.61650419
57,1.26434516,65.39192542,64.97094377,65.39192542,65.11191155
58,1.23737312,65.95910691,65.54818002,65.95910691,65.67447754
59,1.20825025,66.92741677,66.53404258,66.92741677,66.66295512
60,1.18834966,67.16949424,66.77004388,67.16949424,66.90218015
61,1.17093059,67.60963508,67.25044688,67.60963508,67.3680033
62,1.14704315,68.21983035,67.88861396,68.21983035,67.9970136
63,1.12105009,68.9390605,68.62603038,68.9390605,68.72571093
64,1.09956156,69.19114117,68.86711098,69.19114117,68.97124653
65,1.08548895,69.5112436,69.19794631,69.5112436,69.30028705
66,1.05924075,70.20546575,69.95367915,70.20546575,70.02838575
67,1.04618019,70.50056018,70.22317427,70.50056018,70.31207142
68,1.02068134,71.15677017,70.87049157,71.15677017,70.97060161
69,1.00440183,71.59090909,71.33574904,71.59090909,71.41917195
70,0.9827934,72.12407971,71.88698838,72.12407971,71.96146893
71,0.95958817,72.49519846,72.25360537,72.49519846,72.33400868
72,0.95219592,72.95634603,72.72571965,72.95634603,72.80402805
73,0.92360629,73.48151408,73.27593055,73.48151408,73.34071222
74,0.90851576,73.86363636,73.66336516,73.86363636,73.72594331
75,0.88864411,74.30277689,74.13699169,74.30277689,74.1877191
76,0.87817816,74.61787772,74.41964393,74.61787772,74.48104777
77,0.85607716,75.29409411,75.0951335,75.29409411,75.16451519
78,0.83994464,75.6021927,75.44103196,75.6021927,75.49022728
79,0.82798682,75.91029129,75.74152748,75.91029129,75.79740688
80,0.81158631,76.35543374,76.19015285,76.35543374,76.24308806
81,0.79540571,76.81758163,76.67164687,76.81758163,76.71720913
82,0.78372578,76.9256162,76.79065105,76.9256162,76.83536045
83,0.75708685,77.78989277,77.65181593,77.78989277,77.69901262
84,0.75101951,77.82190301,77.68858573,77.82190301,77.7319312
85,0.73774227,78.20202465,78.09071329,78.20202465,78.12637661
86,0.72046294,78.5331306,78.40800052,78.5331306,78.4505506
87,0.71316283,78.84723111,78.73755744,78.84723111,78.77300197
88,0.69587976,79.29037292,79.19729981,79.29037292,79.22508469
89,0.67575215,79.83454706,79.73421615,79.83454706,79.76453473
90,0.67562361,79.72651248,79.62836054,79.72651248,79.66038569
91,0.66578231,79.96959027,79.8700249,79.96959027,79.90018521
92,0.64331698,80.54677497,80.45594763,80.54677497,80.48188564
93,0.63727959,80.91289213,80.83501064,80.91289213,80.85850667
94,0.62290274,81.03293054,80.95463012,81.03293054,80.97986386
95,0.61244763,81.38404289,81.31297105,81.38404289,81.33391701
96,0.60574165,81.54209347,81.48668413,81.54209347,81.50094808
97,0.60041202,81.6881402,81.60634593,81.6881402,81.63217433
98,0.57809977,82.51840589,82.461571,82.51840589,82.47691792
99,0.57551751,82.409371,82.3606549,82.409371,82.37319153
100,0.55346851,82.99455826,82.95724485,82.99455826,82.9621369
